baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000024331.11	731.91743689645	5.56460433722554	0.220083444894704	25.2840659591086	4.78257198699279e-141	2.59913398687705e-138
ENSMUSG00000031297.14	803.32555279747	3.90827910501546	0.15465452259044	25.2710301616298	6.65258550271523e-141	3.52026813917363e-138
ENSMUSG00000043439.5	659.526995111831	5.17599763795843	0.205105254817852	25.2358119374127	1.62124014993838e-140	8.35894793204127e-138
ENSMUSG00000018166.8	696.980696938231	6.81091000379697	0.270551937121585	25.174131356288	7.69282591979148e-140	3.86718358987918e-137
ENSMUSG00000074227.12	750.57937215478	3.91033939636827	0.156142181752605	25.0434530405364	2.05747766857555e-138	1.00906734048091e-135
ENSMUSG00000115388.2	609.418431673392	6.50247253203121	0.260716179861105	24.9408093333347	2.68659529573483e-137	1.28623948111038e-134
ENSMUSG00000020911.14	1699.52307145082	3.6247918165838	0.145396354519021	24.9304174686828	3.48273407892699e-137	1.62862364788521e-134
ENSMUSG00000018849.6	1056.2519181525	3.63309585960225	0.146183735183033	24.8529417794212	2.40328158892124e-136	1.09829968613701e-133
ENSMUSG00000074272.10	525.08890342552	4.94687270529727	0.199685517047752	24.7733174565399	1.73876884989259e-135	7.76959200747561e-133
ENSMUSG00000022218.16	1164.84020471749	8.52446143646164	0.349426843459046	24.3955540223421	1.90647050555387e-131	8.33376280992982e-129
ENSMUSG00000022123.9	552.671280343697	4.73710206084384	0.194194903138593	24.3935447546894	2.00240888766875e-131	8.56690168366878e-129
ENSMUSG00000030494.13	525.777067573772	5.76747932117766	0.236657612594262	24.3705632705157	3.51003532243763e-131	1.47041229715783e-128
ENSMUSG00000026479.13	663.223318480141	3.25898628264201	0.135215105686867	24.1022352205916	2.36839043765621e-128	9.71910100416143e-126
ENSMUSG00000035557.9	5638.94843162175	11.8801610874843	0.493676183068837	24.0646834806446	5.85994542216663e-128	2.35663565097853e-125
ENSMUSG00000019866.15	1632.58625259734	2.94413587980088	0.122679176166811	23.9986603414882	2.87180147079466e-127	1.13227811715174e-124
ENSMUSG00000038807.19	1117.18882139306	2.96427326695813	0.124609111258541	23.7885756267679	4.38511248614487e-125	1.69568926675771e-122
ENSMUSG00000026639.18	426.218463077896	4.30167608796265	0.181522949742373	23.6976982473445	3.80820639367124e-124	1.4448191351687e-121
ENSMUSG00000029019.8	418.752055795574	5.45655037390873	0.230873824982787	23.6343395545837	1.71033450746536e-123	6.368778940021e-121
ENSMUSG00000056413.16	486.367220157637	5.93779831574604	0.254393542557816	23.3409946496443	1.70125423812134e-120	6.21978549457162e-118
ENSMUSG00000015468.14	463.305174561162	5.99862457524154	0.258638181565561	23.1931130157632	5.34351246455624e-119	1.91870265423744e-116
ENSMUSG00000005968.14	900.305333496331	2.82738441674044	0.122144646881024	23.1478373300672	1.5285263068392e-118	5.39221175051275e-116
ENSMUSG00000063011.7	8462.71331030873	1.94801118193718	0.0841595710142463	23.1466386824551	1.57161074670255e-118	5.44861187839566e-116
ENSMUSG00000046410.10	439.962703966407	4.26476739378228	0.185012836939576	23.051197226791	1.43079012539089e-117	4.87632675277289e-115
ENSMUSG00000041607.17	437.950789247322	5.0167451014939	0.219184163471784	22.8882644714417	6.08137018830276e-116	2.03806986243987e-113
ENSMUSG00000024479.3	745.902891244459	7.47904687913069	0.330515345292005	22.6284406629383	2.27506740882937e-113	7.49951728799034e-111
